group,variable,value
17.5,2001009,0
17.5,2001010,1
17.5,2001011,0
17.5,2007303,1
17.5,2011395,0
17.5,2011876,0
17.5,2013774,2
17.5,2013814,0
17.5,2013851,0
17.5,2016450,1
17.5,2019494,0
17.5,2117472,0
17.5,2126770,0
17.5,2128758,1
17.5,2129250,0
17.5,2130036,0
17.5,2138497,0
17.5,2140612,0
17.5,2140613,1
17.5,2140616,0
17.5,2140623,2
17.5,2140630,0
17.5,2140632,0
17.5,2140633,1
17.5,2140634,2
17.5,2140635,0
17.5,2140643,0
17.5,2140648,1
17.5,2140668,0
17.5,2140675,1
17.5,2140676,0
17.5,2140685,1
17.5,2140686,0
17.5,2140687,0
17.5,2140700,0
17.5,2140701,0
17.5,2140702,0
17.5,2140703,0
17.5,2140704,1
17.5,2140709,0
17.5,2140711,0
17.5,2140723,1
17.5,2140725,0
17.5,2140726,1
17.5,2140731,0
17.5,2140732,0
17.5,2140738,0
17.5,2140739,1
17.5,2140741,0
17.5,2140745,0
17.5,2140750,0
17.5,2140751,0
17.5,2140752,1
17.5,2140753,0
17.5,2140760,0
17.5,2140761,0
17.5,2140770,0
17.5,2140771,0
17.5,2140776,1
17.5,2140781,1
17.5,2140783,0
17.5,2140784,0
17.5,2140795,1
17.5,2140828,0
17.5,2140829,0
17.5,2140849,1
17.5,2140855,0
17.5,2140856,1
17.5,2140943,0
17.5,2140961,0
17.5,2140985,1
17.5,2140988,0
17.5,2140991,0
17.5,2140994,0
17.5,2141004,0
17.5,2141016,1
17.5,2141017,1
17.5,2141029,2
17.5,2141034,0
17.5,2141035,1
17.5,2141037,0
17.5,2141048,2
17.5,2141082,0
17.5,2141086,1
17.5,2141097,1
17.5,2141098,0
17.5,2141099,0
17.5,2141102,0
17.5,2141108,0
17.5,2141109,0
17.5,2141110,0
17.5,2141115,0
17.5,2141122,2
17.5,2141143,0
17.5,2141147,0
17.5,2141148,0
17.5,2141160,0
17.5,2141168,0
17.5,2141180,0
17.5,2141186,0
17.5,2141191,1
17.5,2141192,0
17.5,2141203,0
17.5,2141204,0
17.5,2141227,0
17.5,2141240,1
17.5,2141250,0
17.5,2141251,0
17.5,2141263,1
17.5,2141267,0
17.5,2141268,0
17.5,2141270,0
17.5,2141271,0
17.5,2141280,0
17.5,2141338,0
17.5,2141340,0
17.5,2141350,0
17.5,2141376,0
17.5,2141400,1
17.5,2141406,1
17.5,2141427,2
17.5,2141428,0
17.5,2141433,0
17.5,2141434,2
17.5,2141439,0
17.5,2141440,0
17.5,2141444,0
17.5,2141456,0
17.5,2141466,0
17.5,2141489,0
17.5,2141490,0
17.5,2141491,0
17.5,2141492,0
17.5,2141529,0
17.5,2141530,0
17.5,2141553,0
17.5,2141554,0
17.5,2141555,0
17.5,2141556,0
17.5,2141557,1
17.5,2141558,0
17.5,2141568,0
17.5,2141588,1
17.5,2141596,1
17.5,2141598,0
17.5,2141599,0
17.5,2141600,0
17.5,2141601,0
17.5,2141603,0
17.5,2141605,0
17.5,2141614,0
17.5,2141620,0
17.5,2141622,0
17.5,2141625,0
17.5,2141627,1
17.5,2141629,0
17.5,2141630,0
17.5,2141643,0
17.5,2141717,0
17.5,2141737,0
17.5,2141738,0
17.5,2141739,0
17.5,2141741,0
17.5,2142772,1
17.5,2142777,1
17.5,2142781,0
17.5,2142782,0
17.5,2144949,0
17.5,2144952,0
17.5,2145052,0
18.0,201623,1
18.0,559810,1
18.0,2001008,0
18.0,2001009,1
18.0,2001010,1
18.0,2001011,1
18.0,2007303,0
18.0,2011395,0
18.0,2011876,1
18.0,2013774,1
18.0,2013814,0
18.0,2013851,0
18.0,2016450,2
18.0,2019494,0
18.0,2117472,0
18.0,2126770,0
18.0,2128758,1
18.0,2129250,0
18.0,2130036,0
18.0,2138497,0
18.0,2140612,0
18.0,2140613,0
18.0,2140616,1
18.0,2140623,1
18.0,2140630,0
18.0,2140632,1
18.0,2140633,1
18.0,2140634,0
18.0,2140635,0
18.0,2140643,0
18.0,2140648,1
18.0,2140668,0
18.0,2140675,1
18.0,2140676,1
18.0,2140685,1
18.0,2140686,0
18.0,2140687,1
18.0,2140700,1
18.0,2140701,1
18.0,2140702,2
18.0,2140703,1
18.0,2140704,1
18.0,2140709,0
18.0,2140711,0
18.0,2140723,0
18.0,2140725,1
18.0,2140726,1
18.0,2140731,0
18.0,2140732,0
18.0,2140738,0
18.0,2140739,0
18.0,2140741,1
18.0,2140745,0
18.0,2140750,0
18.0,2140751,1
18.0,2140752,2
18.0,2140753,0
18.0,2140760,1
18.0,2140761,0
18.0,2140770,0
18.0,2140771,0
18.0,2140776,1
18.0,2140781,2
18.0,2140783,0
18.0,2140784,0
18.0,2140795,2
18.0,2140828,0
18.0,2140829,0
18.0,2140849,0
18.0,2140855,0
18.0,2140856,1
18.0,2140943,0
18.0,2140961,0
18.0,2140985,1
18.0,2140988,0
18.0,2140991,0
18.0,2140994,1
18.0,2141004,0
18.0,2141016,1
18.0,2141017,2
18.0,2141029,1
18.0,2141034,0
18.0,2141035,0
18.0,2141037,0
18.0,2141048,1
18.0,2141082,1
18.0,2141086,0
18.0,2141097,1
18.0,2141098,0
18.0,2141099,1
18.0,2141102,0
18.0,2141108,0
18.0,2141109,0
18.0,2141110,0
18.0,2141115,0
18.0,2141122,2
18.0,2141143,0
18.0,2141147,0
18.0,2141148,2
18.0,2141160,0
18.0,2141168,1
18.0,2141180,0
18.0,2141186,0
18.0,2141191,1
18.0,2141192,0
18.0,2141203,0
18.0,2141204,1
18.0,2141227,0
18.0,2141240,1
18.0,2141250,0
18.0,2141251,0
18.0,2141263,0
18.0,2141267,0
18.0,2141268,0
18.0,2141270,1
18.0,2141271,0
18.0,2141280,0
18.0,2141338,0
18.0,2141340,0
18.0,2141350,2
18.0,2141376,0
18.0,2141400,2
18.0,2141406,0
18.0,2141427,1
18.0,2141428,0
18.0,2141433,0
18.0,2141434,2
18.0,2141439,0
18.0,2141440,0
18.0,2141444,0
18.0,2141456,1
18.0,2141466,0
18.0,2141489,0
18.0,2141490,0
18.0,2141491,0
18.0,2141492,1
18.0,2141529,0
18.0,2141530,0
18.0,2141553,1
18.0,2141554,0
18.0,2141555,0
18.0,2141556,0
18.0,2141557,2
18.0,2141558,0
18.0,2141568,0
18.0,2141588,0
18.0,2141596,0
18.0,2141598,0
18.0,2141599,0
18.0,2141600,0
18.0,2141601,0
18.0,2141603,1
18.0,2141605,0
18.0,2141614,0
18.0,2141620,0
18.0,2141622,0
18.0,2141625,1
18.0,2141627,0
18.0,2141629,0
18.0,2141630,0
18.0,2141643,0
18.0,2141717,0
18.0,2141737,0
