Id,NumOfPro,Loc,Time,Today,Error
02140849,5,"[[43.77925, 11.24626], [None, None], [31.152127550000003, 112.87827755536885], [41.06997, 1.05949], [41.38879, 2.15899], [41.38879, 2.15899]]","[[1481, 1481], [1501, 1700], [1801, 1900], [1900, 1969], [1888, 1958], [1959, 2021]]",True,
02141627,4,"[[43.77925, 11.24626], [48.69096, 9.14062], [None, None], [48.13743, 11.57549], [47.391991250000004, 19.366904400703994]]","[[1481, 1481], [1481, 1600], [1601, 1700], [1880, 1979], [1979, 2021]]",True,
02141433,5,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [None, None], [41.89193, 12.51133], [41.90225, 12.4533]]","[[1481, 1481], [1481, 1500], [1481, 1600], [1501, 1600], [None, 1923], [1923, 2021]]",True,
02141428,3,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [47.391991250000004, 19.366904400703994], [41.90225, 12.4533]]","[[1481, 1481], [1481, 1600], [1877, 1921], [None, 2021]]",True,
02140745,3,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [None, None], [40.85216, 14.26811]]","[[1481, 1481], [1481, 1600], [1801, 1900], [1804, 2021]]",True,
02141554,5,"[[43.77925, 11.24626], [42.83333, 12.83333], [43.77925, 11.24626], [52.86195, -3.05497], [40.34872, -74.65905], [40.34872, -74.65905]]","[[1481, 1481], [1481, 1500], [1501, 1600], [1806, 1843], [1900, 1955], [1955, 2021]]",True,
02141630,3,"[[43.77925, 11.24626], [None, None], [43.91452, -69.96533], [43.91452, -69.96533]]","[[1481, 1481], [1501, 1600], [1870, 1915], [1970, 2021]]",True,
02140686,4,"[[43.77925, 11.24626], [43.77925, 11.24626], [45.15533665, 10.90486405], [44.49381, 11.33875], [44.46667, 11.43333]]","[[1481, 1481], [1501, 1600], [1481, 1600], [1775, 1847], [1847, 2021]]",True,
02140703,5,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.70853, 10.4036], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626]]","[[1481, 1481], [1481, 1500], [1500, 1556], [1745, 1801], [1830, 1830], [1861, 2021]]",True,
02141035,6,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [43.8805, 11.09699], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626]]","[[1481, 1481], [1501, 1600], [1501, 1700], [1607, 1607], [1849, 1874], [1874, 1905], [1907, 2021]]",True,
02140711,3,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.77925, 11.24626], [43.77925, 11.24626]]","[[1481, 1481], [1481, 1600], [1826, 1834], [1850, 2021]]",True,
02141037,4,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.77925, 11.24626], [43.77925, 11.24626], [43.77925, 11.24626]]","[[1481, 1481], [1481, 1500], [1849, 1874], [1874, 1905], [1907, 2021]]",True,
02126770,13,"[[43.77925, 11.24626], [None, None], [None, None], [None, None], [None, None], [51.50853, -0.12574], [52.07689, -1.24167], [51.50853, -0.12574], [52.07689, -1.24167], [52.07689, -1.24167], [40.71427, -74.00597], [45.15533665, 10.90486405], [45.15533665, 10.90486405], [44.41344, 12.20121]]","[[1481, 1481], [1481, 1500], [1481, 1500], [1481, 1500], [1500, 1560], [1791, 1791], [1791, 1816], [1816, 1824], [1824, 1846], [1846, 1886], [1886, 1886], [1886, 1904], [1904, 1905], [1905, 2021]]",True,
02140741,3,"[[43.77925, 11.24626], [43.77925, 11.24626], [None, None], [40.85216, 14.26811]]","[[1481, 1481], [1562, 1562], [1701, 1800], [1804, 2021]]",True,
02140738,4,"[[43.77925, 11.24626], [43.77925, 11.24626], [45.15533665, 10.90486405], [44.64783, 10.92539], [44.64783, 10.92539]]","[[1481, 1481], [1521, 1521], [1481, 1500], [None, 1829], [1829, 2021]]",True,
02141490,4,"[[43.77925, 11.24626], [None, None], [None, None], [47.391991250000004, 19.366904400703994], [38.89511, -77.03637]]","[[1481, 1481], [1501, 1600], [None, None], [None, 1930], [1932, 2021]]",True,
02141270,3,"[[43.77925, 11.24626], [None, None], [39.12711, -84.51439], [41.85003, -87.65005]]","[[1481, 1481], [1701, 1800], [1820, 1890], [1890, 2021]]",True,
02140994,3,"[[43.77925, 11.24626], [48.85341, 2.3488], [53.55073, 9.99302], [53.55073, 9.99302]]","[[1481, 1481], [1731, 1788], [None, 1863], [1863, 2021]]",True,
02141489,4,"[[43.77925, 11.24626], [51.50853, -0.12574], [40.71427, -74.00597], [40.09594, -75.12517], [38.89511, -77.03637]]","[[1481, 1481], [1860, 1927], [None, 1935], [1935, 1943], [1943, 2021]]",True,
02140943,1,"[[43.77925, 11.24626], [50.63373, 5.56749]]","[[1481, 1481], [1817, 2021]]",True,
02140632,4,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [41.89193, 12.51133], [48.85341, 2.3488], [48.85341, 2.3488]]","[[1481, 1481], [1500, None], [1733, 1783], [1788, 1792], [1792, 2021]]",True,
02141738,3,"[[43.77925, 11.24626], [48.85341, 2.3488], [48.85341, 2.3488], [48.85341, 2.3488]]","[[1481, 1481], [None, 1838], [1838, 1838], [1838, 2021]]",True,
02141737,2,"[[43.77925, 11.24626], [48.85341, 2.3488], [48.85341, 2.3488]]","[[1481, 1481], [None, 1784], [1784, 2021]]",True,
02141741,0,"[[43.77925, 11.24626]]","[[1481, 1481]]",False,
02140855,4,"[[43.77925, 11.24626], [None, None], [43.77925, 11.24626], [31.152127550000003, 112.87827755536885], [59.85882, 17.63889]]","[[1481, 1481], [1501, 1600], [1501, 1600], [1800, 1900], [None, 2021]]",True,
02001008,2,"[[43.77925, 11.24626], [51.50853, -0.12574], [51.50853, -0.12574]]","[[1481, 1481], [1755, 1846], [1847, 2021]]",True,
02141599,3,"[[43.77925, 11.24626], [None, None], [52.52437, 13.41053], [52.52437, 13.41053]]","[[1481, 1481], [1501, 1600], [1800, 1846], [1850, 2021]]",True,
02141629,3,"[[43.77925, 11.24626], [None, None], [52.52437, 13.41053], [52.52437, 13.41053]]","[[1481, 1481], [1501, 1600], [1880, 1904], [1906, 2021]]",True,
02141643,2,"[[43.77925, 11.24626], [None, None], [46.21672, 6.18041]]","[[1481, 1481], [1833, 1861], [1951, 2021]]",True,
02140961,3,"[[43.77925, 11.24626], [48.85341, 2.3488], [48.85341, 2.3488], [48.85341, 2.3488]]","[[1481, 1481], [1853, 1917], [1917, 2003], [2003, 2021]]",True,
02140783,2,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [43.31822, 11.33064]]","[[1481, 1481], [1481, 1600], [1758, 2021]]",True,
02141600,2,"[[43.77925, 11.24626], [51.05089, 13.73832], [51.05089, 13.73832]]","[[1481, 1481], [1853, 1865], [1853, 2021]]",True,
02141601,1,"[[43.77925, 11.24626], [51.05089, 13.73832]]","[[1481, 1481], [None, 2021]]",True,
02140795,4,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [45.53197, 12.18687], [45.66673, 12.2416], [45.66673, 12.2416]]","[[1481, 1481], [1501, 1700], [1701, 1800], [1737, 1810], [1810, 2021]]",True,
02140630,3,"[[43.77925, 11.24626], [45.4389, 12.33092], [45.4389, 12.33092], [48.85341, 2.3488]]","[[1481, 1481], [1481, 1519], [1519, 1547], [1801, 2021]]",True,
02141192,6,"[[43.77925, 11.24626], [45.15533665, 10.90486405], [42.83333, 12.83333], [42.35843, -71.05977], [42.3751, -71.10561], [42.3751, -71.10561], [42.35843, -71.05977]]","[[1481, 1481], [1481, 1500], [1550, 1650], [1939, 1939], [1939, 1943], [1943, 1943], [1943, 2021]]",True,
